SegmentID,Boro,Street,fromSt,toSt,Long,Lat
10855,Staten Island,NEW DORP LANE,Mill Road,Titus Avenue,-74.10607491284205,40.56853355820118
11787,Staten Island,JEFFERSON STREET,Seaview Avenue,Liberty Avenue,-74.09868846815574,40.58946256799441
39873,Brooklyn,GERRITSEN AVENUE,Bragg Street,Avenue U,-73.93528121552869,40.601955579725875
39976,Brooklyn,AVENUE U,Brigham Street,Gerritsen Avenue,-73.93525103051161,40.60159017470363
39977,Brooklyn,GERRITSEN AVENUE,Avenue U,Avenue U,-73.93473123152,40.60146391318827
39978,Brooklyn,AVENUE U,Stuart Street,Gerritsen Avenue,-73.93474356653789,40.60192039501437
65785,Queens,CROSS ISLAND PKWY ET 25 A SB,Cross Island Parkway,Dead end,-73.72629509900166,40.68865264251895
79001,Bronx,SOUTHERN BOULEVARD,East 178 Street,East 179 Street,-73.88533473583209,40.8443779643959
79015,Bronx,EAST 179 STREET,Southern Boulevard,Marmion Avenue,-73.88547934502454,40.84460834281011
79016,Bronx,MARMION AVENUE,Southern Boulevard,East 179 Street,-73.88542186562864,40.844938997385505
79147,Bronx,SOUTHERN BOULEVARD,Marmion Avenue,East 179 Street,-73.88526092714788,40.84478789351449
79150,Bronx,EAST 179 STREET,Mohegan Avenue,Crotona Parkway,-73.88467220576756,40.84449709844617
79180,Bronx,CROTONA PARKWAY,Hornaday Place,Bronx Park South,-73.88291763370349,40.847586916630185
79199,Bronx,BRONX PARK SOUTH,Mohegan Avenue,Crotona Parkway,-73.8826088246777,40.84765518137214
81341,Bronx,MAJOR DEEGAN EXPRESSWAY SR,Major Deegan Expwy Et 14 Nb,Dead end,-73.8778965773187,40.90567430983186
83890,Queens,GRAND CENTRAL PKWY ET 9 E WB,Grand Central Parkway Et 9 Eb,Grand Central Parkway Et 9 Eb,-73.8465689960303,40.75960656528772
84005,Queens,126 STREET,35 Avenue,36 Avenue,-73.84513404127371,40.759068473970544
84439,Queens,WHITESTONE EXPWY SB EN ULMER ST,Ulmer Street,Whitestone Expressway,-73.83618595159793,40.76971191217666
85912,Bronx,BRONX PARK EAST,Maran Place,Brady Avenue,-73.86896677490573,40.85311781532049
85914,Bronx,WHITE PLAINS ROAD,Bronx Park East,Unionport Road,-73.86842576422282,40.85143258332596
85916,Bronx,WHITE PLAINS ROAD,Birchall Avenue,Bronxdale Avenue,-73.86780811588066,40.85085076741562
85918,Bronx,WHITE PLAINS ROAD,Brady Avenue,Bronxdale Avenue,-73.86778165625131,40.852084665877356
86040,Bronx,CRUGER AVENUE,Dyre Avenue Line,Bronxdale Avenue,-73.86683853180008,40.85003948141302
86053,Bronx,WALLACE AVENUE,Rhinelander Avenue,Bronxdale Avenue,-73.86460158779124,40.84898041154196
86055,Bronx,BRONXDALE AVENUE,Barnes Avenue,Neill Avenue,-73.86435446407351,40.84984667871022
